longitude,latitude,population,households,median_income,median_house_value,ocean_proximity
-122.22,37.79,2273.0,685.0,3.9048,164700.0,NEAR BAY
-122.19,37.78,984.0,369.0,3.22,156500.0,NEAR BAY
-122.2,37.77,1537.0,484.0,2.898,121400.0,NEAR BAY
-122.24,37.8,1006.0,335.0,2.1348,140600.0,NEAR BAY
-122.27,37.85,875.0,363.0,1.5817,153600.0,NEAR BAY
-122.27,37.82,1959.0,720.0,1.1108,97500.0,NEAR BAY
-122.17,37.75,935.0,349.0,1.4375,90000.0,NEAR BAY
-122.27,37.88,669.0,367.0,3.5417,287500.0,NEAR BAY
-122.26,37.77,411.0,172.0,3.3571,405400.0,NEAR BAY
-122.26,37.86,1461.0,679.0,2.9405,289500.0,NEAR BAY
-122.21,37.8,1883.0,706.0,3.4861,187100.0,NEAR BAY
-122.18,37.77,1173.0,438.0,3.2552,120100.0,NEAR BAY
-122.26,37.87,3337.0,350.0,1.4012,175000.0,NEAR BAY
-122.18,37.75,621.0,195.0,1.325,87100.0,NEAR BAY
-122.23,37.76,805.0,321.0,4.7188,335300.0,NEAR BAY
-122.25,37.87,1349.0,250.0,1.1696,500001.0,NEAR BAY
-122.22,37.79,1647.0,527.0,2.6042,124700.0,NEAR BAY
-122.2,37.77,1888.0,537.0,2.2562,94800.0,NEAR BAY
-122.18,37.73,646.0,198.0,2.9063,80000.0,NEAR BAY
-122.24,37.8,1118.0,347.0,2.1563,128600.0,NEAR BAY
-122.26,37.86,1253.0,538.0,3.3893,241700.0,NEAR BAY
-122.24,37.82,1470.0,520.0,6.155,398600.0,NEAR BAY
-122.09,37.66,766.0,271.0,3.4722,135400.0,NEAR BAY
-121.77,37.67,3489.0,1259.0,5.7907,264200.0,INLAND
-122.1,37.68,1061.0,400.0,3.0962,180900.0,NEAR BAY
-122.28,37.89,722.0,306.0,5.4171,292000.0,NEAR BAY
-122.11,37.66,913.0,299.0,4.1302,172700.0,NEAR BAY
-122.28,37.88,506.0,207.0,4.1912,254500.0,NEAR BAY
-122.22,37.77,520.0,138.0,1.6471,95000.0,NEAR BAY
-122.28,37.78,730.0,327.0,2.5139,219000.0,NEAR BAY
-122.13,37.73,686.0,270.0,6.9096,341800.0,NEAR BAY
-122.26,37.77,921.0,477.0,2.875,234000.0,NEAR BAY
-122.29,37.89,940.0,423.0,5.0551,232200.0,NEAR BAY
-122.16,37.69,796.0,283.0,4.3971,205700.0,NEAR BAY
-122.23,37.79,1659.0,412.0,2.9357,107900.0,NEAR BAY
-122.3,37.89,518.0,276.0,3.0208,206300.0,NEAR BAY
-122.27,37.89,973.0,355.0,7.266,371100.0,NEAR BAY
-122.29,37.89,693.0,326.0,3.1375,229100.0,NEAR BAY
-122.24,37.79,1171.0,429.0,2.3173,125000.0,NEAR BAY
-122.28,37.82,576.0,220.0,1.4113,83100.0,NEAR BAY
-122.24,37.84,1177.0,555.0,5.1773,389500.0,NEAR BAY
-122.19,37.8,610.0,238.0,4.744,257300.0,NEAR BAY
-122.18,37.68,840.0,401.0,5.4858,187800.0,NEAR BAY
-122.2,37.82,420.0,176.0,7.0175,366700.0,NEAR BAY
-122.23,37.8,1149.0,415.0,2.25,123500.0,NEAR BAY
-122.21,37.77,1183.0,354.0,2.3309,98700.0,NEAR BAY
-122.07,37.67,1469.0,616.0,3.2465,230600.0,NEAR BAY
-122.24,37.77,481.0,223.0,2.6411,241000.0,NEAR BAY
-122.18,37.81,126.0,52.0,6.3624,483300.0,NEAR BAY
-122.19,37.78,555.0,190.0,3.7262,166900.0,NEAR BAY
-122.26,37.8,1659.0,676.0,1.6929,115000.0,NEAR BAY
-122.25,37.77,482.0,215.0,3.1771,210200.0,NEAR BAY
-122.26,37.88,823.0,377.0,5.7979,415300.0,NEAR BAY
-122.24,37.83,916.0,316.0,8.1194,471600.0,NEAR BAY
-122.29,37.9,594.0,286.0,5.338,270900.0,NEAR BAY
-122.27,37.87,1424.0,694.0,2.7372,210200.0,NEAR BAY
-122.29,37.87,386.0,204.0,3.875,182600.0,NEAR BAY
-122.26,37.88,1798.0,769.0,1.725,287500.0,NEAR BAY
-122.19,37.78,1109.0,375.0,4.3125,164400.0,NEAR BAY
-122.04,37.65,3827.0,1288.0,6.2579,315500.0,NEAR BAY
-122.21,37.79,1530.0,474.0,2.4167,139400.0,NEAR BAY
-122.2,37.79,1009.0,390.0,2.3036,126000.0,NEAR BAY
-122.29,37.89,1004.0,371.0,5.1696,261400.0,NEAR BAY
-122.26,37.88,1558.0,573.0,2.944,338900.0,NEAR BAY
-122.28,37.86,958.0,445.0,1.9327,169900.0,NEAR BAY
-122.28,37.86,1213.0,568.0,2.2845,153100.0,NEAR BAY
-122.21,37.78,1227.0,407.0,1.7188,126800.0,NEAR BAY
-122.09,37.69,1732.0,800.0,4.8036,188300.0,NEAR BAY
-122.21,37.78,1065.0,269.0,1.8472,137000.0,NEAR BAY
-122.2,37.83,542.0,211.0,8.401,351200.0,NEAR BAY
-122.25,37.86,1316.0,590.0,5.3794,376900.0,NEAR BAY
-122.3,37.89,620.0,275.0,4.0875,221300.0,NEAR BAY
-122.18,37.76,907.0,246.0,1.9479,89500.0,NEAR BAY
-122.22,37.8,1185.0,515.0,4.5428,239800.0,NEAR BAY
-122.17,37.76,949.0,342.0,1.8426,94800.0,NEAR BAY
-122.26,37.88,894.0,404.0,6.2425,391800.0,NEAR BAY
-122.27,37.86,1127.0,548.0,1.8447,198200.0,NEAR BAY
-122.27,37.88,1232.0,621.0,4.2813,284900.0,NEAR BAY
-122.26,37.9,903.0,362.0,7.8336,371300.0,NEAR BAY
-122.15,37.75,849.0,255.0,3.8913,126300.0,NEAR BAY
-122.23,37.79,564.0,184.0,1.3281,113300.0,NEAR BAY
-122.24,37.81,709.0,456.0,3.2727,268500.0,NEAR BAY
-122.22,37.79,1201.0,424.0,2.5,136700.0,NEAR BAY
-122.19,37.77,1086.0,425.0,3.3715,143900.0,NEAR BAY
-122.18,37.73,855.0,285.0,2.5192,76400.0,NEAR BAY
-122.19,37.77,1144.0,417.0,3.5114,151200.0,NEAR BAY
-122.04,37.63,586.0,249.0,4.7813,241900.0,NEAR BAY
-122.17,37.78,651.0,267.0,3.6875,157300.0,NEAR BAY
-122.23,37.8,488.0,186.0,1.9375,126600.0,NEAR BAY
-122.24,37.85,98.0,47.0,4.9643,335000.0,NEAR BAY
-122.21,37.79,1517.0,516.0,2.8365,139200.0,NEAR BAY
-122.24,37.8,1487.0,677.0,2.5238,169300.0,NEAR BAY
-122.2,37.75,531.0,133.0,1.5809,70000.0,NEAR BAY
-122.19,37.74,567.0,159.0,1.1765,87100.0,NEAR BAY
-122.19,37.75,435.0,162.0,0.8012,81800.0,NEAR BAY
-122.21,37.78,753.0,241.0,2.625,111300.0,NEAR BAY
-122.25,37.8,1359.0,722.0,2.1429,250000.0,NEAR BAY
-122.17,37.75,763.0,254.0,2.3281,88800.0,NEAR BAY
-122.2,37.79,1354.0,491.0,2.619,134700.0,NEAR BAY
-122.15,37.69,637.0,222.0,3.6625,184600.0,NEAR BAY
-122.23,37.76,1242.0,518.0,5.2128,289900.0,NEAR BAY
-122.18,37.78,713.0,284.0,3.2984,160700.0,NEAR BAY
-122.17,37.77,1704.0,703.0,2.875,135300.0,NEAR BAY
-122.1,37.63,5613.0,1946.0,3.8171,187200.0,NEAR BAY
-122.28,37.89,1085.0,487.0,4.125,270900.0,NEAR BAY
-122.25,37.82,1520.0,802.0,3.9063,225000.0,NEAR BAY
-122.2,37.8,804.0,340.0,5.1184,239600.0,NEAR BAY
-122.23,37.8,772.0,257.0,2.3833,146900.0,NEAR BAY
-122.28,37.81,609.0,289.0,1.5,162500.0,NEAR BAY
-122.2,37.79,667.0,235.0,4.1739,169600.0,NEAR BAY
-122.23,37.79,4367.0,1231.0,2.1917,112800.0,NEAR BAY
-122.18,37.75,901.0,260.0,2.1731,82000.0,NEAR BAY
-122.27,37.78,630.0,265.0,3.7708,215300.0,NEAR BAY
-122.13,37.72,340.0,171.0,6.5095,371200.0,NEAR BAY
-122.22,37.81,1021.0,380.0,8.1564,390100.0,NEAR BAY
-122.24,37.79,1284.0,357.0,2.2542,112200.0,NEAR BAY
-122.13,37.77,916.0,324.0,7.0712,293000.0,NEAR BAY
-122.2,37.78,1071.0,376.0,3.1167,121600.0,NEAR BAY
-122.17,37.77,1360.0,452.0,1.871,90700.0,NEAR BAY
-122.22,37.79,2167.0,659.0,2.7969,141700.0,NEAR BAY
-122.19,37.73,801.0,287.0,1.2625,84700.0,NEAR BAY
-121.24,39.65,221.0,102.0,2.3684,62500.0,INLAND
-122.18,37.79,922.0,329.0,3.9712,208100.0,NEAR BAY
-121.92,37.49,3571.0,1466.0,5.1643,193100.0,<1H OCEAN
-122.23,37.81,612.0,213.0,4.7708,314700.0,NEAR BAY
-122.15,37.74,571.0,191.0,3.1458,130600.0,NEAR BAY
-122.17,37.78,468.0,181.0,3.875,140600.0,NEAR BAY
-122.13,37.75,137.0,50.0,4.975,311100.0,NEAR BAY
-122.27,37.87,1675.0,1000.0,1.7464,216700.0,NEAR BAY
-122.27,37.88,1372.0,876.0,2.1907,271400.0,NEAR BAY
-122.28,37.87,1293.0,675.0,2.543,220700.0,NEAR BAY
-122.26,37.77,637.0,297.0,4.7778,351800.0,NEAR BAY
-122.3,37.9,1027.0,509.0,3.5125,224200.0,NEAR BAY
-122.28,37.86,1361.0,608.0,1.9798,147400.0,NEAR BAY
-122.26,37.82,2024.0,1250.0,1.2185,170000.0,NEAR BAY
-122.21,37.83,1616.0,654.0,7.5544,411500.0,NEAR BAY
-122.14,37.68,1561.0,628.0,2.7955,183100.0,NEAR BAY
-122.25,37.8,1645.0,543.0,2.2303,116700.0,NEAR BAY
-122.19,37.84,533.0,194.0,11.6017,392600.0,NEAR BAY
-122.23,37.78,2813.0,751.0,1.6009,118100.0,NEAR BAY
-122.29,37.88,824.0,388.0,3.8897,218400.0,NEAR BAY
-122.01,37.56,1531.0,736.0,4.4259,158000.0,NEAR BAY
-122.15,37.74,545.0,230.0,3.95,219000.0,NEAR BAY
-122.27,37.74,2974.0,1484.0,3.6875,353900.0,NEAR BAY
-121.93,37.72,1935.0,642.0,4.4697,221300.0,<1H OCEAN
-121.76,37.69,1919.0,709.0,3.3841,184400.0,INLAND
-122.11,37.7,835.0,338.0,2.3274,170400.0,NEAR BAY
-122.18,37.75,282.0,80.0,4.0469,80700.0,NEAR BAY
-122.09,37.67,673.0,308.0,2.3357,175000.0,NEAR BAY
-122.28,37.88,489.0,218.0,3.9167,235600.0,NEAR BAY
-122.24,37.75,384.0,146.0,4.9489,247100.0,NEAR BAY
-122.08,37.68,314.0,205.0,2.3958,190800.0,NEAR BAY
-122.28,37.87,805.0,431.0,2.8676,212000.0,NEAR BAY
-122.24,37.73,2930.0,1235.0,4.5213,228400.0,NEAR BAY
-122.35,37.96,1563.0,524.0,2.5164,114200.0,NEAR BAY
-122.08,37.64,4065.0,1113.0,3.3479,182100.0,NEAR BAY
-122.15,37.68,1349.0,486.0,4.3864,205200.0,NEAR BAY
-122.28,37.78,3741.0,1273.0,2.5762,173400.0,NEAR BAY
-122.2,37.84,1072.0,443.0,7.4882,319300.0,NEAR BAY
-122.28,37.87,828.0,339.0,3.5625,191700.0,NEAR BAY
-122.12,37.75,808.0,219.0,6.86,250000.0,NEAR BAY
-122.19,37.76,630.0,237.0,1.925,74100.0,NEAR BAY
-122.16,37.74,533.0,166.0,2.625,98200.0,NEAR BAY
-122.29,37.89,374.0,153.0,5.1675,270600.0,NEAR BAY
-122.23,37.81,878.0,352.0,7.508,348700.0,NEAR BAY
-122.23,37.79,425.0,140.0,1.6198,122700.0,NEAR BAY
-122.26,37.86,1493.0,794.0,2.9044,257400.0,NEAR BAY
-122.02,37.58,2097.0,728.0,3.3617,178100.0,NEAR BAY
-121.89,37.68,734.0,245.0,6.2918,334100.0,<1H OCEAN
-122.13,37.69,1216.0,643.0,3.395,271300.0,NEAR BAY
-122.25,37.87,2184.0,422.0,2.5562,371400.0,NEAR BAY
-122.17,37.76,965.0,382.0,2.1842,107900.0,NEAR BAY
-121.83,39.76,4644.0,1775.0,3.1142,112600.0,INLAND
-122.29,37.87,1145.0,430.0,2.6165,150000.0,NEAR BAY
-122.25,37.86,878.0,449.0,1.7652,336800.0,NEAR BAY
-120.34,38.25,997.0,408.0,2.9821,111500.0,INLAND
-115.57,32.8,1184.0,513.0,1.875,93800.0,INLAND
-121.83,37.99,1456.0,453.0,5.6779,164700.0,INLAND
-119.79,36.75,3530.0,846.0,1.123,46700.0,INLAND
-122.25,37.77,429.0,158.0,4.3098,197900.0,NEAR BAY
-122.07,37.63,1175.0,337.0,3.7292,168100.0,NEAR BAY
-122.18,37.76,447.0,165.0,3.9063,93800.0,NEAR BAY
-122.13,37.71,776.0,346.0,3.1103,188900.0,NEAR BAY
-122.1,37.66,342.0,112.0,4.6875,200600.0,NEAR BAY
-121.81,37.99,1315.0,437.0,4.8194,170400.0,INLAND
-122.23,37.79,1481.0,343.0,2.0375,122500.0,NEAR BAY
-122.07,37.63,2028.0,693.0,2.4808,157600.0,NEAR BAY
-122.25,37.79,228.0,55.0,2.1,75000.0,NEAR BAY
-122.21,37.8,1260.0,552.0,2.8929,216700.0,NEAR BAY
-122.14,37.67,641.0,243.0,4.0682,196200.0,NEAR BAY
-122.29,37.9,576.0,236.0,3.3333,276800.0,NEAR BAY
-122.24,37.77,885.0,373.0,3.6417,206300.0,NEAR BAY
-122.28,37.82,1074.0,304.0,1.2171,80300.0,NEAR BAY
-122.17,37.75,597.0,185.0,3.1587,100400.0,NEAR BAY
-122.16,37.75,429.0,154.0,2.925,142900.0,NEAR BAY
-122.22,37.78,1807.0,440.0,1.7276,102300.0,NEAR BAY
-122.28,37.87,963.0,521.0,1.9805,173700.0,NEAR BAY
-121.96,38.02,1409.0,505.0,3.016,95300.0,INLAND
-120.72,38.42,2237.0,953.0,3.0465,144100.0,INLAND
-121.8,37.69,2222.0,662.0,5.4324,215500.0,INLAND
-122.14,37.73,931.0,368.0,3.8125,235100.0,NEAR BAY
-122.2,37.8,1115.0,455.0,4.9559,273000.0,NEAR BAY
-122.2,37.76,826.0,279.0,1.75,85700.0,NEAR BAY
-122.16,37.79,4985.0,1967.0,5.9849,371000.0,NEAR BAY
-122.19,37.71,158.0,58.0,5.5461,262500.0,NEAR BAY
-122.06,37.67,1830.0,743.0,4.2733,180700.0,NEAR BAY
-122.1,37.68,1162.0,389.0,3.125,167100.0,NEAR BAY
-122.25,37.8,1197.0,488.0,3.0149,218400.0,NEAR BAY
-122.28,37.84,1168.0,441.0,1.9615,115200.0,NEAR BAY
-121.77,38.01,1417.0,510.0,3.9861,168100.0,INLAND
-120.66,38.4,985.0,381.0,3.175,118500.0,INLAND
-122.28,37.86,393.0,189.0,3.8594,196400.0,NEAR BAY
-121.98,37.53,2142.0,639.0,4.1947,222700.0,<1H OCEAN
-122.15,37.75,946.0,331.0,3.225,135800.0,NEAR BAY
-122.23,37.76,1303.0,535.0,5.1039,273800.0,NEAR BAY
-122.2,37.76,1925.0,667.0,1.4097,84600.0,NEAR BAY
-122.16,37.7,1203.0,379.0,5.0043,190400.0,NEAR BAY
-122.19,37.78,496.0,209.0,5.2328,174200.0,NEAR BAY
-122.11,37.67,599.0,224.0,3.0917,167200.0,NEAR BAY
-122.11,37.71,1950.0,819.0,4.65,206800.0,NEAR BAY
-122.16,37.76,1438.0,519.0,2.4598,155500.0,NEAR BAY
-122.13,37.67,914.0,317.0,3.8676,184000.0,NEAR BAY
-121.82,38.0,985.0,420.0,2.8466,113400.0,INLAND
-122.3,37.87,228.0,100.0,2.1705,150000.0,NEAR BAY
-122.25,37.82,1749.0,1217.0,3.0233,255000.0,NEAR BAY
-122.19,37.79,1737.0,669.0,2.9297,140500.0,NEAR BAY
-122.27,37.85,152.0,77.0,2.2841,106300.0,NEAR BAY
-122.19,37.79,546.0,201.0,2.6667,172800.0,NEAR BAY
-122.28,37.85,317.0,119.0,2.4038,107500.0,NEAR BAY
-120.91,38.73,2645.0,838.0,4.835,230600.0,INLAND
-122.09,37.67,1408.0,478.0,3.1115,153500.0,NEAR BAY
-122.28,37.9,779.0,312.0,7.1754,362900.0,NEAR BAY
-122.21,37.8,506.0,252.0,4.0977,229700.0,NEAR BAY
-122.18,37.8,955.0,328.0,6.7527,285800.0,NEAR BAY
-122.17,37.74,693.0,178.0,2.25,84200.0,NEAR BAY
-121.79,38.01,1749.0,618.0,3.1728,146800.0,INLAND
-122.14,37.75,579.0,202.0,6.8323,255900.0,NEAR BAY
-122.09,37.7,2239.0,1051.0,2.9861,208200.0,NEAR BAY
-122.25,37.77,825.0,264.0,3.4531,208800.0,NEAR BAY
-121.74,37.95,2399.0,763.0,5.7104,186300.0,INLAND
-122.11,37.67,952.0,370.0,3.8,187500.0,NEAR BAY
-122.11,37.68,1197.0,465.0,2.5772,170200.0,NEAR BAY
-122.28,37.8,191.0,34.0,0.75,162500.0,NEAR BAY
-122.24,37.76,979.0,472.0,3.4762,244000.0,NEAR BAY
-118.95,35.4,2136.0,883.0,3.6875,101700.0,INLAND
-122.36,37.93,1047.0,432.0,1.7727,86100.0,NEAR BAY
-115.49,32.67,2185.0,602.0,1.375,70100.0,INLAND
-122.08,37.61,1039.0,395.0,3.7931,203900.0,NEAR BAY
-122.02,37.95,1660.0,508.0,5.6642,237000.0,NEAR BAY
-122.08,37.61,1568.0,433.0,5.0406,261400.0,NEAR BAY
-122.36,37.95,773.0,248.0,2.7714,104700.0,NEAR BAY
-121.89,38.01,2362.0,641.0,3.0042,103900.0,INLAND
-122.08,37.92,796.0,274.0,6.195,264900.0,NEAR BAY
-122.27,37.77,1033.0,434.0,5.5337,372000.0,NEAR BAY
-121.89,37.49,1981.0,591.0,9.7194,500001.0,<1H OCEAN
-121.94,37.54,1067.0,410.0,6.7599,356000.0,<1H OCEAN
-121.85,39.72,5022.0,1524.0,1.6911,98800.0,INLAND
-121.98,37.96,2209.0,1014.0,3.1573,126700.0,INLAND
-122.18,37.72,1003.0,305.0,3.8047,156700.0,NEAR BAY
-122.07,37.65,2181.0,740.0,3.016,161800.0,NEAR BAY
-122.05,37.61,705.0,351.0,2.8971,163900.0,NEAR BAY
-121.88,39.74,7517.0,3262.0,1.6785,153100.0,INLAND
-122.06,37.68,2667.0,1047.0,3.1796,170300.0,NEAR BAY
-122.05,37.93,1503.0,881.0,4.0473,266500.0,NEAR BAY
-122.16,37.7,568.0,225.0,2.9917,194600.0,NEAR BAY
-122.14,37.73,711.0,353.0,3.0673,218400.0,NEAR BAY
-121.6,39.77,699.0,296.0,1.875,84000.0,INLAND
-121.71,39.71,1174.0,514.0,3.066,102600.0,INLAND
-120.41,38.33,529.0,226.0,3.024,100900.0,INLAND
-122.26,37.87,1721.0,949.0,1.1859,241700.0,NEAR BAY
-122.08,37.63,391.0,107.0,4.0682,156900.0,NEAR BAY
-122.13,37.67,1625.0,665.0,3.2434,179900.0,NEAR BAY
-122.15,37.72,2024.0,962.0,2.8125,157400.0,NEAR BAY
-120.83,38.74,1714.0,734.0,2.2269,128300.0,INLAND
-122.1,37.97,1753.0,646.0,5.6931,269600.0,NEAR BAY
-121.91,39.03,657.0,199.0,2.7841,65800.0,INLAND
-122.06,37.77,5781.0,2007.0,7.2634,341600.0,NEAR BAY
-121.85,39.73,1107.0,98.0,3.4191,137500.0,INLAND
-122.0,37.55,3026.0,1134.0,4.1591,332400.0,<1H OCEAN
-122.13,37.7,2162.0,998.0,2.6321,223100.0,NEAR BAY
-122.25,37.76,1340.0,632.0,3.567,252900.0,NEAR BAY
-122.7,38.99,181.0,105.0,2.3558,134700.0,INLAND
-119.78,36.85,292.0,164.0,2.8274,79500.0,INLAND
-122.2,37.78,1128.0,378.0,2.5401,129100.0,NEAR BAY
-122.21,37.78,1390.0,569.0,2.7352,137300.0,NEAR BAY
-122.11,37.69,768.0,309.0,3.4643,160900.0,NEAR BAY
