longitude,latitude,house_id
-118.92,35.47,3079
-121.03,37.66,19502
-122.44,37.79,15703
-121.97,37.36,17910
-118.2,33.79,8219
-120.3,37.97,20106
-118.07,33.89,7912
-121.27,38.12,16469
-118.43,34.04,5347
-116.44,33.77,12389
-122.53,37.88,9404
-122.34,37.94,1777
-121.48,38.55,12552
-118.22,33.83,7663
-118.39,33.89,8589
-122.54,37.88,9405
-122.34,40.63,18724
-121.89,37.28,17661
-118.19,34.14,4122
-117.93,34.06,6228
-121.88,37.26,17653
-122.37,37.56,16912
-123.23,39.33,9484
-117.85,33.8,11079
-122.41,37.72,15941
-121.29,37.89,16421
-118.07,33.91,7780
-117.84,33.76,10982
-118.15,34.12,6777
-118.26,34.01,4907
-117.1,32.68,14841
-122.14,39.97,19774
-118.17,34.86,3142
-118.33,33.97,5046
-118.25,33.89,7597
-122.6,38.11,9279
-122.39,41.41,18850
-118.63,34.18,4001
-119.02,36.05,20049
-117.88,34.11,6104
-122.05,37.93,1507
-121.7,36.6,9752
-119.75,36.71,2029
-121.53,39.08,20617
-119.19,34.16,20296
-122.33,40.52,18748
-117.9,33.88,10214
-117.61,33.43,10445
-122.25,37.81,108
-117.17,32.68,14806
-117.66,34.1,13264
-118.16,33.78,8279
-118.28,33.96,5159
-122.3,37.92,1821
-122.47,37.72,16043
-119.72,36.73,2047
-124.08,40.87,2586
-118.38,34.07,8856
-118.19,33.83,8077
-118.25,33.93,5226
-122.19,37.78,273
-117.22,32.75,14354
-116.98,32.8,15073
-122.43,37.64,16815
-117.09,32.67,14833
-121.15,38.89,11740
-117.47,33.98,11983
-117.79,33.75,11002
-120.31,36.65,2491
-120.62,35.13,16696
-122.75,38.46,19255
-117.86,34.02,6068
-121.66,36.7,9692
-118.16,33.97,7349
-118.02,34.12,6413
-118.32,33.96,8351
-117.02,32.7,14200
-123.36,39.41,9479
-121.64,36.72,9685
-118.31,34.04,4826
-122.01,37.94,1496
-123.37,39.43,9478
-117.24,33.05,15228
-118.23,34.16,5735
-122.04,37.62,810
-121.57,37.01,18496
-117.19,33.9,12138
-118.05,33.93,7052
-120.72,38.38,1047
-118.43,34.01,5437
-118.5,34.21,3878
-120.66,35.27,16658
-117.89,33.78,11067
-122.13,37.75,367
-119.33,35.6,3056
-122.5,37.6,16834
-122.02,37.34,18133
-118.21,34.04,4522
-122.17,37.76,300
-118.42,34.02,5427
-122.24,37.76,560
-122.34,37.55,16942
-119.33,36.19,19985
-117.01,32.81,14731
-121.96,38.32,19005
-117.15,32.72,14325
-118.58,34.22,3570
-120.95,39.93,11840
-118.24,34.15,5787
-118.43,34.43,9167
-117.01,32.84,15107
-118.53,34.23,3581
-118.25,34.02,4892
-122.25,37.77,529
-117.23,33.78,12175
-121.57,39.76,1123
-122.27,37.88,426
-118.21,33.95,7426
-118.98,35.39,2884
-118.31,33.82,8738
-115.38,32.81,2700
-122.65,38.48,19241
-121.79,38.69,20551
-122.18,38.17,18938
-123.79,39.44,9470
-117.92,34.0,6305
-118.32,33.75,8816
-121.86,37.35,17550
-118.03,34.16,6390
-118.22,33.96,7409
-120.33,38.0,20088
-122.25,37.87,458
-117.14,32.79,14657
-118.64,34.17,3993
-118.09,34.68,9041
-118.45,34.15,4062
-118.4,34.05,5369
-120.65,37.09,9652
-122.49,37.75,16071
-122.66,38.47,19231
-119.81,36.79,2273
-121.84,36.6,9869
-119.71,34.4,17269
-117.84,33.76,10973
-117.33,34.12,13507
-119.29,34.3,20224
-118.12,34.15,6659
-119.38,36.55,19831
-119.71,34.42,17255
-117.86,33.75,10905
-117.77,34.1,5976
-117.26,33.19,15444
-122.04,38.26,18959
-121.11,37.76,16510
-118.13,33.76,8303
-118.3,34.1,4288
-118.75,34.27,20467
-122.17,37.45,17142
-120.77,37.64,19582
-118.13,34.04,6899
-120.89,35.37,16627
-121.76,37.23,18400
-116.95,33.79,12259
-123.85,41.32,2599
-122.21,37.8,144
-122.43,40.47,18788
-122.11,38.01,1372
-121.27,37.87,16419
-122.24,37.49,17062
-118.14,34.13,6723
-121.24,36.33,9776
-116.98,32.73,14948
-122.41,37.62,16847
-116.92,32.81,15087
-122.21,37.37,17164
-117.65,33.65,10372
-121.76,38.55,20545
-120.93,35.76,16599
-122.3,37.52,17020
-117.81,33.63,10721
-122.09,37.95,1415
-121.24,38.68,12996
-115.51,32.68,2760
-120.87,37.05,9646
-122.36,40.55,18730
-122.15,37.7,670
-118.36,33.96,8382
-122.43,37.78,15741
-116.08,33.86,12443
-118.05,33.9,7787
-118.32,33.75,8817
-121.4,36.85,13159
-117.11,32.82,14679
-118.24,34.14,5793
-117.31,34.53,13842
-117.66,34.13,13242
-119.7,34.41,17275
-117.82,33.9,10308
-122.32,37.92,1812
-121.25,37.95,16263
-117.22,34.12,13706
-118.03,33.95,6997
-117.84,34.11,5962
-117.28,34.12,13587
-118.04,34.1,6460
-122.63,38.24,19109
-122.11,37.4,18239
-117.96,33.76,11326
-121.33,37.98,16225
-120.61,35.06,16704
-116.01,33.41,2767
-117.91,33.92,10132
-117.08,33.01,15210
-118.15,34.19,6573
-117.17,34.07,13745
-116.33,33.75,12377
-115.6,32.87,2707
-118.23,33.91,7535
-121.37,38.59,12725
-122.42,37.8,15618
-118.63,34.18,3984
-121.32,38.7,12967
-121.44,38.48,12669
-117.08,32.83,14685
-122.19,37.82,138
-117.66,33.51,10496
-117.96,34.09,6152
-117.19,33.18,15469
-121.92,38.57,20575
-117.25,34.07,13671
-122.44,37.76,15771
-120.43,37.35,9620
-117.17,32.83,14591
-118.17,34.02,7216
-118.3,34.11,4234
-118.03,33.84,11674
-118.51,34.03,8887
-118.19,34.07,4466
-122.46,37.75,15982
-122.41,37.74,15906
-121.32,37.95,16217
-123.59,38.8,9502
-117.06,32.61,14895
-118.15,34.04,7156
-118.15,34.03,7154
-117.05,32.97,15159
-117.13,32.75,14058
-118.22,33.92,7489
-122.47,37.75,15991
-122.25,37.49,17039
-121.74,39.15,19720
-122.09,37.39,18242
-122.73,38.47,19248
-118.24,34.12,4199
-123.22,40.16,19804
-118.38,33.79,8803
-118.3,34.07,4618
-118.77,34.26,20472
-117.82,33.68,10619
-118.4,34.14,4114
-116.9,33.98,12294
-121.69,39.36,1199
-118.15,34.14,6708
-121.86,37.42,17849
-117.62,34.11,13275
-122.03,37.35,18147
-118.32,33.98,5041
-116.84,32.86,15127
-122.45,37.66,16793
-119.79,36.55,2465
-118.18,33.98,7324
-123.82,40.12,2663
-122.32,37.56,16937
-117.04,32.73,14997
-117.92,33.85,11124
-121.52,38.59,20508
-117.08,32.64,14860
-121.9,37.45,17863
-117.34,33.98,12107
-122.08,37.39,18246
-118.23,34.22,6588
-120.88,38.16,1219
-122.35,37.93,1797
-120.0,38.52,1025
-117.61,33.67,10413
-119.65,37.32,9203
-118.4,33.97,5546
-118.78,34.05,9030
-117.97,33.66,11431
-118.36,33.98,8386
-121.96,36.99,18666
-118.19,33.79,8216
-117.16,32.74,14341
-117.66,34.1,13265
-122.04,37.12,18610
-118.02,33.95,7069
-118.41,34.05,5348
-118.97,35.36,2944
-118.17,34.04,7164
-119.35,36.22,19947
-117.9,33.91,10146
-121.27,38.02,16388
-118.22,33.95,7413
-122.47,37.73,16021
-117.12,32.56,14791
-118.42,34.18,3726
-121.93,36.6,9813
-120.45,34.63,17440
-118.21,33.93,7479
-118.58,34.25,3563
-121.82,38.46,19046
-122.42,37.77,15762
-122.35,37.93,1788
-117.09,32.61,14891
-118.06,34.17,6379
-120.97,37.67,19475
-118.38,33.77,8801
-117.64,34.08,13295
-120.06,36.95,9225
-120.69,39.12,11733
-121.82,39.76,1055
-117.14,32.92,14529
-118.27,33.82,7649
-117.38,33.19,15315
-117.08,32.58,14776
-118.32,33.9,8515
-118.49,34.25,3595
-122.18,37.75,345
-121.91,37.31,17591
-117.94,33.89,10168
-122.0,37.34,18139
-121.31,37.9,16420
-118.45,34.29,5915
-117.89,33.61,10753
-117.69,33.6,10480
-118.42,34.04,5364
-115.56,32.76,2750
-122.26,38.33,9962
-116.75,32.85,15601
-118.0,34.14,6425
-122.72,38.58,19334
-118.32,34.04,4781
-117.89,34.1,6192
-121.95,37.55,890
-117.13,32.73,14292
-118.33,34.2,5835
-121.0,37.69,19437
-121.89,37.36,17503
-118.08,34.09,6477
-119.44,38.53,9669
-120.46,34.66,17443
-123.1,39.15,9524
-122.11,37.67,729
-119.64,34.43,17293
-118.23,33.99,7272
-121.45,38.57,12509
-122.02,37.87,1581
-118.38,34.08,8838
-122.46,37.78,16142
-121.53,38.61,12813
-119.33,36.3,19933
-118.0,34.1,6488
-118.23,33.95,7415
-117.11,32.78,14696
-121.99,37.27,18011
-119.86,36.81,2208
-121.24,37.9,16415
-117.58,33.92,12013
-120.89,37.33,9553
-122.0,36.93,18541
-118.0,33.81,11251
-119.01,35.39,2832
-121.82,38.01,1285
-123.01,38.67,19350
-122.07,37.63,801
-121.79,37.38,17802
-117.17,34.12,13714
-117.87,34.11,6098
-117.32,34.01,12113
-118.37,33.82,8750
-117.98,34.01,6315
-122.3,40.58,18727
-117.09,32.65,14863
-119.26,34.27,20247
-118.33,34.02,5010
-122.0,37.97,1439
-119.0,34.08,20424
-117.76,34.05,6023
-118.29,33.96,8320
-119.19,35.41,3036
-120.72,38.42,1045
-119.19,34.17,20295
-118.36,33.89,8592
-122.0,37.36,18178
-118.28,33.97,5093
-121.63,39.15,19680
-117.44,33.96,11913
-118.95,34.17,20360
-121.27,38.66,12939
-122.41,37.75,15879
-119.15,34.17,20310
-118.38,34.06,8864
-122.57,40.61,18793
-118.08,34.01,6930
-118.35,33.83,8721
-117.27,34.39,13868
-122.49,37.67,16764
-122.62,38.94,3301
-119.17,34.2,20260
-122.45,37.79,15698
-121.96,37.31,17976
-122.23,37.8,183
-119.56,36.09,3241
-119.46,36.91,2391
-117.97,34.0,6320
-118.31,34.11,4236
-117.25,33.38,15374
-118.28,33.95,5173
-116.81,33.9,12285
-118.3,33.74,8554
-118.12,33.99,7250
-117.93,34.09,6169
-118.22,34.13,4134
-118.26,34.01,4918
-122.74,38.44,19262
-120.88,38.45,1036
-117.08,32.75,14141
-117.09,32.58,14779
-122.02,37.6,832
-118.25,33.93,7497
-117.95,33.82,11232
-122.09,37.38,18257
-122.07,37.13,18593
-117.08,32.65,14864
-122.78,39.05,3286
-121.94,37.83,1645
-117.23,32.75,14355
-117.1,32.75,14103
-117.24,34.13,13693
-118.44,34.02,5417
-122.42,37.75,15826
-118.36,34.06,4714
-118.97,34.18,20355
-117.48,34.09,13409
-118.24,34.22,5713
-119.08,35.39,2830
-117.06,34.0,12271
-117.92,33.94,10119
-117.94,34.07,6233
-121.02,37.62,19516
-121.45,37.72,16567
-121.29,38.68,12979
-121.22,37.93,16412
-116.31,33.66,12401
-121.3,38.63,12910
-118.12,34.16,6655
-119.35,36.16,19998
-117.62,34.02,13352
-122.41,37.79,15652
-119.61,36.58,2438
-121.26,38.7,13014
-116.5,33.69,12358
-118.04,34.13,6398
-118.15,33.97,7339
-117.89,33.84,11113
-122.33,37.94,1760
-121.93,37.24,18035
-118.3,34.1,4291
-122.08,37.92,1521
-118.06,34.1,6465
-122.18,37.72,624
-121.18,38.78,11751
-117.88,33.9,10240
-118.05,36.64,2797
-121.43,38.54,12565
-121.44,38.46,13139
-117.11,32.74,14115
-117.49,33.9,12042
-116.42,33.76,12372
-118.17,34.07,4479
-120.64,35.46,16721
-118.35,33.8,8774
-117.92,33.79,11297
-118.22,33.89,7578
-120.51,40.41,3365
-118.45,34.14,4077
-117.07,32.8,14702
-120.87,41.54,9662
-122.46,37.72,16036
-117.74,33.51,10467
-118.3,34.03,4852
-121.13,37.74,16503
-116.9,33.65,12226
-118.19,33.89,7565
-118.01,33.95,6918
-122.53,37.95,9361
-116.16,33.68,12436
-116.66,32.79,15608
-119.39,36.54,19836
-118.17,33.77,8275
-120.94,37.6,19570
-118.18,33.82,8076
-118.33,33.87,8682
-115.53,32.99,2680
-118.35,33.99,8994
-117.93,34.05,6226
-122.08,37.97,1387
-121.42,38.6,12696
-116.37,33.19,15596
-118.24,34.13,5800
-121.34,38.03,16333
-117.82,33.85,10316
-117.99,34.14,6422
-118.27,33.82,7656
-117.25,32.86,14488
-122.36,40.69,18755
-118.21,33.89,7573
-118.12,33.94,7724
-117.03,34.91,13806
-121.86,36.6,9860
-122.24,37.77,556
-121.05,38.14,16487
-122.3,37.97,1705
-117.81,33.73,10583
-121.16,37.73,16511
-121.52,39.49,1185
-122.43,37.8,15677
-118.44,34.0,5442
-117.87,33.62,10762
-117.22,32.78,14410
-122.69,38.51,19235
-116.86,33.73,12269
-118.56,34.18,4029
-122.7,38.45,19215
-120.18,39.14,11710
-118.17,33.89,7850
-118.11,33.85,8009
-122.19,37.44,17148
-124.09,40.87,2584
-124.1,40.5,2650
-118.33,33.79,8770
-118.12,34.16,6676
-118.34,33.98,8372
-121.32,39.29,20631
-118.09,33.9,7777
-121.5,38.53,12586
-119.27,34.17,20272
-117.28,34.24,13937
-119.35,36.42,19854
-122.44,37.75,15803
-122.22,37.44,17109
-122.51,38.06,9290
-121.9,36.97,18675
-117.67,34.05,13335
-121.83,40.69,18802
-117.64,34.04,13348
-118.01,34.14,6415
-117.05,32.81,14707
-122.48,37.67,16782
-117.72,33.61,10706
-118.19,34.14,4121
-119.59,36.11,3235
-118.4,34.17,3778
-122.53,41.81,18827
-118.03,34.14,6405
-120.76,38.6,1974
-122.36,40.57,18741
-118.07,34.07,6509
-119.25,36.32,19908
-117.06,32.55,14762
-117.98,33.76,11560
-117.39,33.95,11932
-118.25,34.16,5786
-121.82,38.01,1299
-118.17,33.92,7454
-122.02,37.95,1490
-122.24,37.47,17095
-121.54,36.99,18498
-118.39,34.08,8846
-121.48,38.5,12629
-121.29,38.02,16379
-122.02,37.28,18078
-119.81,36.77,2159
-118.08,33.84,7930
-118.02,33.85,11664
-121.9,37.37,17821
-117.13,32.76,14051
-117.94,33.66,10831
-120.85,37.51,19661
-118.41,34.16,3776
-121.02,37.48,19608
-116.0,32.74,2765
-121.81,38.43,19052
-118.66,34.43,9172
-122.39,37.6,16879
-121.07,37.71,19416
-118.47,34.42,9165
-118.32,33.81,8745
-117.97,33.89,11700
-118.2,33.93,7476
-117.15,34.48,13826
-118.96,34.19,20356
-117.99,33.71,11475
-122.47,37.78,16129
-118.17,33.79,8210
-121.65,36.67,9709
-118.13,33.95,7708
-118.38,34.17,3753
-117.08,32.57,14772
-118.03,34.16,6389
-122.0,38.37,19037
-122.44,37.78,15714
-117.85,33.84,11069
-118.32,34.1,4266
-117.86,33.82,11083
-121.32,38.65,12924
-122.28,37.86,480
-118.5,34.27,3523
-122.14,38.03,1365
-122.57,39.9,19742
-117.86,33.84,11070
-119.89,36.79,2171
-122.07,37.4,18219
-118.3,33.78,5592
-118.18,34.63,9108
-121.47,37.58,16597
-122.0,38.23,18973
-118.46,33.99,5475
-120.45,34.96,17393
-118.15,34.12,6775
-124.17,40.75,2557
-119.61,36.59,2440
-118.24,33.95,5222
-119.66,36.32,3223
-122.48,38.32,19081
-122.69,38.44,19195
-123.23,39.13,9511
-117.06,33.09,15561
-122.41,37.75,15878
-119.52,34.4,17303
-117.96,34.06,6238
-124.16,40.95,2615
-117.7,33.6,10711
-118.12,33.85,8012
-118.12,33.92,7727
-119.03,34.23,20341
-119.67,36.83,2338
-121.87,37.67,980
-122.21,37.47,17087
-118.37,34.08,4364
-119.32,36.32,19929
-122.09,37.98,1390
-117.06,32.76,14170
-117.67,34.09,13268
-118.09,33.82,8150
-117.07,32.67,14855
-120.45,34.95,17404
-119.77,36.78,2148
-115.57,32.8,2730
-121.06,37.18,9634
-122.11,37.71,588
-121.94,37.0,18664
-119.17,34.18,20285
-118.4,34.04,5353
-117.2,33.15,15472
-118.33,33.88,8680
-118.37,34.07,4698
-122.59,37.97,9338
-122.38,37.73,15888
-122.2,37.88,1636
-118.31,34.09,4279
-121.13,38.37,13116
-118.22,33.81,8100
-122.51,37.78,16168
-120.84,35.32,16634
-117.35,33.97,11895
-118.34,34.06,4706
-118.82,36.13,19975
-121.88,37.37,17828
-119.19,34.28,20177
-121.98,37.36,17901
-120.04,36.74,2188
-115.56,32.8,2731
-117.06,32.81,14706
-116.98,32.86,15113
-118.53,34.04,5274
-121.66,37.93,1272
-118.45,35.62,3092
-118.09,34.04,6893
-122.07,37.33,18089
-117.11,34.43,13819
-121.39,38.43,13101
-118.16,34.15,6637
-117.73,33.61,10694
-118.27,34.14,5808
-117.91,34.06,6220
-117.9,33.87,10215
-118.18,33.79,8212
-122.24,38.15,18913
-118.39,34.17,3780
-119.79,36.74,2004
-121.76,37.3,17746
-117.23,32.85,14475
-121.24,40.31,11864
-117.2,34.13,13697
-121.87,37.22,18379
-117.91,33.6,10739
-124.15,41.81,1863
-122.32,37.57,16931
-120.59,35.13,16681
-122.09,37.91,1525
-117.16,32.72,14326
-118.28,34.05,4599
-117.94,34.15,6350
-121.44,38.58,12468
-121.38,38.68,12855
-117.23,34.15,13682
-117.04,32.65,14934
-116.49,33.82,12346
-120.42,34.87,17357
-118.27,34.14,4214
-118.39,34.21,3676
-122.45,37.71,16745
-121.43,38.57,12466
-118.7,35.82,19978
-118.65,34.18,3989
-118.19,33.79,8217
-119.69,34.44,17230
-114.98,33.07,2777
-118.93,35.44,3081
-121.45,38.51,12653
-122.72,38.35,19134
-121.81,37.27,18408
-121.31,37.94,16208
-118.33,33.86,8695
-121.84,36.94,18679
-118.21,33.81,8091
-117.17,32.77,14626
-118.04,33.83,11622
-122.29,40.39,18782
-119.86,36.8,2213
-120.56,38.39,1227
-121.3,37.92,16290
-117.92,34.03,6282
-122.07,37.96,1405
-117.23,32.72,14366
-121.95,37.33,17946
-122.14,37.67,735
-118.37,34.06,4716
-118.03,34.05,6547
-118.46,34.16,4065
-121.83,37.24,18440
-118.58,34.2,3934
-117.71,33.51,10519
-121.62,39.12,19695
-117.74,34.11,5979
-117.27,33.23,15414
-117.86,33.73,10912
-118.46,34.04,5338
-117.24,32.82,14467
-122.4,37.73,15885
-117.08,33.14,15519
-116.47,33.84,12364
-116.89,32.85,15141
-116.99,32.74,14966
-122.67,38.24,19130
-122.32,38.06,1679
-118.1,33.81,8182
-118.29,33.92,5567
-116.89,34.27,13968
-118.07,33.87,7894
-123.48,40.34,19805
-117.88,33.85,11114
-117.22,32.83,14562
-121.52,38.51,12614
-122.58,38.15,9274
-119.27,36.39,19850
-121.98,37.53,903
-122.08,37.08,18598
-118.72,34.29,20506
-122.28,37.99,1686
-118.39,33.9,8587
-118.31,33.74,5643
-118.17,34.69,9083
-121.4,38.66,12843
-121.36,38.57,13085
-121.91,37.23,18038
-117.58,34.11,13384
-117.42,33.98,11971
-118.13,34.02,7143
-118.13,33.89,7860
-122.08,37.39,18251
-118.15,34.09,6789
-122.22,37.78,250
-117.75,34.05,6346
-121.24,38.72,11760
-119.56,36.71,2368
-122.45,40.56,18714
-122.16,37.75,378
-121.82,38.01,1286
-124.09,40.88,2587
-122.16,37.79,284
-121.79,38.0,1314
-122.52,38.7,3345
-119.26,36.61,19814
-120.23,37.98,20098
-121.89,36.59,9854
-117.93,33.88,10199
-117.18,34.06,13724
-118.24,34.11,4202
-122.28,37.85,505
-121.78,39.71,1079
-122.64,41.63,18841
-122.21,37.46,17111
-117.21,32.87,14510
-119.88,34.43,17464
-121.18,39.26,10014
-122.08,37.64,795
-114.59,33.61,12455
-122.23,40.15,19760
-117.93,33.78,11300
-118.11,33.94,7722
-122.09,37.67,714
-116.6,33.06,15585
-121.94,39.45,2537
-119.8,34.44,17496
-121.29,37.87,16422
-118.0,34.13,6426
-116.25,33.68,12430
-116.94,32.82,15098
-118.25,33.79,5615
-119.36,36.21,19946
-117.36,33.98,11888
-119.29,35.76,3062
-122.3,38.31,9910
-118.13,33.8,8167
-116.92,32.85,15136
-117.68,34.15,13229
-122.27,37.87,465
-117.57,33.87,12061
-122.45,37.62,16842
-117.48,33.94,12028
-121.98,38.52,20573
-118.11,33.83,8144
-121.6,36.88,13154
-122.0,36.97,18648
-117.81,33.67,10660
-122.15,37.45,18330
-122.42,38.31,19064
-121.64,39.11,19705
-116.94,33.77,12248
-116.76,34.29,13975
-117.98,33.79,11266
-118.07,34.17,6553
-118.19,33.92,7557
-121.95,37.28,17991
-122.41,37.75,15880
-118.36,34.1,4352
-117.85,33.79,11053
-118.39,34.0,8963
-118.22,33.88,7612
-122.12,37.65,780
-121.08,39.02,10001
-117.08,32.7,14185
-122.13,37.46,17125
-119.82,36.83,2221
-117.55,33.52,10401
-118.3,34.0,4984
-118.33,34.02,5008
-122.29,37.87,473
-119.0,35.35,2932
-118.32,34.13,4246
-118.16,33.78,8277
-117.22,33.93,12132
-118.37,34.17,3789
-122.14,37.77,359
-118.44,35.75,3084
-120.11,39.21,11720
-117.15,33.02,15184
-117.94,34.08,6163
-122.46,37.74,16007
-118.31,34.26,3398
-122.49,37.75,16072
-121.88,37.28,17660
-117.85,34.06,6072
-118.1,34.16,6677
-118.62,34.22,3945
-118.21,33.92,7487
-118.41,33.89,8579
-117.9,34.06,6209
-118.14,33.76,8290
-117.96,33.86,10179
-115.56,32.8,2732
-117.58,34.14,13378
-118.31,33.94,8336
-122.52,37.95,9328
-118.29,34.16,5764
-124.15,40.76,2572
-118.07,33.85,7898
-118.13,33.9,7861
-120.86,37.4,9549
-117.89,33.68,10856
-121.83,37.33,17761
-122.48,37.79,16136
-122.02,38.02,1362
-118.35,34.01,5060
-121.31,38.97,11798
-121.01,37.74,19413
-118.09,34.71,9048
-121.43,38.54,12570
-118.46,34.17,3868
-118.18,34.04,7181
-118.62,34.2,3951
-118.47,34.01,8944
-121.86,40.77,18801
-122.25,38.1,18884
-119.06,34.62,20124
-122.01,37.39,18197
-118.12,34.69,9057
-117.79,34.07,6016
-117.33,34.17,13535
-118.36,33.89,8541
-118.64,34.22,3953
-119.76,36.8,2293
-118.34,33.99,9002
-118.29,33.95,5166
-118.24,33.95,5219
-118.29,34.07,4611
-123.39,38.99,9504
-119.12,36.29,19888
-117.64,34.06,13324
-120.57,34.96,17411
-122.09,37.71,586
-118.45,34.03,5408
-117.94,33.77,11305
-118.26,34.08,4420
-122.66,38.27,19108
-120.93,38.77,1946
-121.02,39.23,10038
-121.93,37.33,17516
-121.43,38.48,12668
-121.48,38.58,12486
-117.93,33.76,11340
-118.29,33.88,5570
-121.79,39.73,1078
-121.42,38.54,12568
-121.19,38.95,11814
-121.73,36.9,9720
-118.05,33.93,7051
-117.68,34.14,13233
-117.34,34.07,13633
-117.35,34.09,13519
-120.06,37.02,9234
-117.23,32.74,14391
-124.14,40.6,2638
-118.17,33.96,7358
-121.96,37.25,18048
-119.85,36.82,2205
-117.28,33.1,15294
-122.28,37.9,410
-121.01,37.68,19439
-118.19,34.19,6592
-122.16,37.76,356
-121.25,40.27,11863
-121.53,38.57,20522
-118.48,34.04,8902
-118.25,33.95,7395
-118.28,34.11,4219
-118.32,33.99,5026
-117.22,34.15,13688
-122.48,37.75,16067
-119.33,36.32,19925
-119.01,36.05,20048
-122.22,37.48,17067
-119.29,36.33,19876
-118.14,34.68,9060
-118.41,34.0,8979
-118.47,35.64,3093
-117.13,32.92,14526
-121.48,38.58,12496
-118.26,34.14,5809
-121.37,38.56,13084
-122.64,41.73,18837
-122.25,37.85,5
-120.95,38.69,1940
-122.41,37.8,15623
-119.79,36.75,2008
-122.53,38.01,9291
-118.48,34.01,8940
-121.41,38.64,12776
-121.86,37.4,17811
-118.04,33.82,11623
-122.26,37.98,1687
-117.07,32.62,14894
-121.91,37.93,1660
-122.55,37.79,16170
-114.62,33.62,12459
-121.94,37.26,17624
-118.51,34.21,3881
-117.36,33.92,11902
-118.02,34.17,6375
-122.1,37.37,18287
-118.75,34.28,20465
-121.3,38.69,12980
-122.39,37.74,15883
-118.96,35.37,2874
-118.07,34.09,6475
-120.97,37.68,19473
-117.95,33.87,10187
-121.3,38.66,12986
-116.91,32.83,15138
-118.35,33.93,8423
-118.37,34.07,4695
-119.71,36.83,2323
-122.26,37.84,43
-117.46,34.06,13417
-121.06,37.45,19620
-118.23,34.14,4123
-118.26,34.02,4888
-117.93,33.94,10117
-120.94,37.61,19565
-116.95,32.77,15049
