housing_median_age,total_rooms,total_bedrooms,population,households,median_income,median_house_value,ocean_proximity,house_id
24.0,5230.0,934.0,3795.0,970.0,5.4228,264100.0,<1H OCEAN,17888
27.0,2578.0,314.0,976.0,340.0,7.1882,359200.0,<1H OCEAN,11016
31.0,4297.0,788.0,2083.0,771.0,3.3878,109300.0,INLAND,12666
17.0,4199.0,629.0,2020.0,630.0,6.1228,375700.0,NEAR BAY,16992
23.0,3359.0,725.0,1862.0,651.0,2.6719,193600.0,INLAND,13152
52.0,3975.0,716.0,1515.0,691.0,5.0156,500001.0,NEAR BAY,15717
17.0,6709.0,1198.0,3954.0,1161.0,4.6997,156900.0,INLAND,13382
36.0,1508.0,323.0,1283.0,312.0,2.1205,60000.0,INLAND,19848
52.0,2059.0,345.0,800.0,308.0,4.97,500001.0,NEAR OCEAN,16908
52.0,1514.0,348.0,767.0,354.0,2.1903,160000.0,<1H OCEAN,19342
22.0,7554.0,991.0,2808.0,946.0,10.06,500001.0,NEAR OCEAN,8797
31.0,2053.0,465.0,1193.0,447.0,1.4923,44400.0,INLAND,19765
52.0,2125.0,431.0,1014.0,443.0,5.8186,281100.0,<1H OCEAN,17565
36.0,857.0,156.0,448.0,168.0,5.0086,366700.0,NEAR BAY,18259
12.0,2880.0,406.0,1381.0,418.0,6.5412,254200.0,<1H OCEAN,14737
2.0,4624.0,946.0,2091.0,808.0,3.6736,214500.0,NEAR OCEAN,15465
52.0,3939.0,852.0,1737.0,797.0,4.5052,500001.0,NEAR BAY,15777
30.0,5201.0,1104.0,2961.0,1064.0,3.2661,140400.0,NEAR OCEAN,14613
46.0,1504.0,270.0,814.0,306.0,4.3919,157100.0,<1H OCEAN,8360
44.0,376.0,,273.0,107.0,2.2917,90800.0,INLAND,13598
25.0,1630.0,353.0,1546.0,371.0,5.0893,173400.0,NEAR BAY,17123
35.0,1817.0,262.0,659.0,262.0,6.8336,457200.0,NEAR OCEAN,16958
21.0,4056.0,637.0,1974.0,634.0,5.9024,221000.0,<1H OCEAN,20478
52.0,458.0,148.0,1283.0,166.0,1.2863,86300.0,NEAR OCEAN,14323
19.0,1258.0,246.0,545.0,227.0,2.9762,184400.0,<1H OCEAN,10500
12.0,7626.0,1704.0,2823.0,1554.0,2.1722,69400.0,INLAND,12252
43.0,2998.0,470.0,970.0,430.0,5.5385,431800.0,NEAR BAY,9364
37.0,1361.0,348.0,1398.0,328.0,1.1681,78100.0,NEAR OCEAN,14273
26.0,2286.0,444.0,498.0,216.0,2.065,96100.0,INLAND,18823
40.0,2597.0,582.0,1285.0,559.0,3.975,213800.0,<1H OCEAN,8051
10.0,2050.0,473.0,1302.0,471.0,2.7961,131300.0,<1H OCEAN,15434
35.0,2017.0,383.0,1388.0,386.0,4.0774,171600.0,<1H OCEAN,7681
45.0,1685.0,321.0,815.0,314.0,4.2955,309700.0,NEAR OCEAN,16973
28.0,3811.0,585.0,1795.0,581.0,7.8383,372700.0,<1H OCEAN,18109
7.0,77.0,12.0,64.0,15.0,4.6,187500.0,INLAND,12141
30.0,1722.0,490.0,1057.0,517.0,3.725,261300.0,NEAR BAY,18243
10.0,9033.0,2224.0,5525.0,1845.0,2.7598,95000.0,INLAND,12412
22.0,2430.0,417.0,1292.0,391.0,3.4009,182400.0,INLAND,16512
45.0,2142.0,431.0,1318.0,431.0,3.0737,111600.0,NEAR BAY,1771
26.0,2885.0,476.0,1227.0,439.0,4.9524,226600.0,<1H OCEAN,10145
29.0,1526.0,355.0,724.0,315.0,4.0313,435200.0,NEAR OCEAN,17017
29.0,1578.0,460.0,1236.0,461.0,2.5658,134700.0,NEAR OCEAN,14867
52.0,1777.0,368.0,624.0,350.0,3.6729,137800.0,INLAND,12542
29.0,1769.0,297.0,703.0,269.0,4.4375,350000.0,NEAR OCEAN,17286
15.0,4836.0,1368.0,3012.0,1240.0,2.1865,129300.0,INLAND,11946
35.0,365.0,98.0,463.0,112.0,2.5588,78800.0,NEAR OCEAN,14314
40.0,2054.0,433.0,1738.0,429.0,4.9926,213900.0,NEAR BAY,15972
52.0,1052.0,,381.0,201.0,3.0726,289600.0,NEAR OCEAN,14016
25.0,3030.0,532.0,1668.0,509.0,4.625,229600.0,<1H OCEAN,11637
30.0,1654.0,434.0,1843.0,467.0,3.1403,153000.0,<1H OCEAN,11357
10.0,1325.0,189.0,427.0,162.0,12.0933,500001.0,NEAR BAY,9317
28.0,1346.0,291.0,1575.0,278.0,3.425,159500.0,<1H OCEAN,10929
19.0,4920.0,1092.0,1807.0,922.0,3.5112,231900.0,NEAR OCEAN,18672
15.0,2214.0,410.0,1152.0,350.0,2.9187,93400.0,INLAND,12399
12.0,961.0,342.0,315.0,201.0,0.813,275000.0,<1H OCEAN,15539
23.0,1215.0,225.0,592.0,224.0,3.4,200600.0,NEAR OCEAN,14631
5.0,260.0,41.0,157.0,42.0,6.5151,281700.0,NEAR OCEAN,14939
16.0,2404.0,349.0,868.0,329.0,11.0138,442100.0,<1H OCEAN,10727
9.0,8185.0,1525.0,3630.0,1466.0,4.1667,197700.0,INLAND,13667
15.0,2752.0,546.0,1422.0,545.0,3.2813,175000.0,<1H OCEAN,16717
18.0,2355.0,444.0,1277.0,433.0,3.4551,121400.0,<1H OCEAN,14978
26.0,1864.0,331.0,956.0,325.0,5.5,231700.0,<1H OCEAN,17650
16.0,4356.0,881.0,1629.0,818.0,2.2672,91100.0,INLAND,16375
24.0,3663.0,828.0,2718.0,778.0,3.2757,186000.0,<1H OCEAN,20147
10.0,9033.0,2224.0,5525.0,1845.0,2.7598,95000.0,INLAND,12412
35.0,1756.0,328.0,1026.0,332.0,3.6,193500.0,<1H OCEAN,11108
27.0,698.0,116.0,391.0,126.0,5.9177,267600.0,<1H OCEAN,10131
39.0,2428.0,634.0,1312.0,612.0,2.7212,266300.0,NEAR OCEAN,8271
14.0,1908.0,484.0,1195.0,467.0,1.7929,82300.0,<1H OCEAN,9516
35.0,1288.0,240.0,758.0,250.0,4.9205,173900.0,<1H OCEAN,7087
31.0,2567.0,,1198.0,499.0,3.4659,163000.0,<1H OCEAN,15031
39.0,3803.0,806.0,1567.0,775.0,3.7039,361500.0,NEAR OCEAN,14343
14.0,2816.0,501.0,1448.0,452.0,5.0278,210900.0,<1H OCEAN,15571
7.0,4842.0,935.0,2857.0,907.0,3.9318,133000.0,INLAND,12870
27.0,5484.0,1205.0,2645.0,1131.0,2.1927,116700.0,INLAND,13781
35.0,3133.0,541.0,1449.0,555.0,5.7295,346100.0,<1H OCEAN,18073
37.0,1822.0,329.0,845.0,348.0,4.75,251100.0,<1H OCEAN,17942
27.0,1318.0,216.0,495.0,191.0,5.2837,283800.0,NEAR OCEAN,14574
32.0,2697.0,529.0,1417.0,535.0,3.2546,134100.0,<1H OCEAN,19361
46.0,672.0,149.0,351.0,136.0,5.3264,258100.0,NEAR OCEAN,17030
7.0,7808.0,1390.0,3551.0,1392.0,4.6069,202300.0,<1H OCEAN,19107
43.0,3044.0,652.0,1456.0,608.0,2.4567,140000.0,<1H OCEAN,16603
12.0,5616.0,871.0,3019.0,782.0,5.5425,202300.0,INLAND,13360
12.0,549.0,109.0,209.0,90.0,3.0208,66300.0,INLAND,12320
26.0,2758.0,571.0,1291.0,522.0,2.925,181400.0,<1H OCEAN,16714
52.0,2512.0,356.0,978.0,365.0,8.0784,320300.0,<1H OCEAN,10969
16.0,4138.0,758.0,1762.0,723.0,3.1979,137500.0,INLAND,18984
19.0,2191.0,391.0,1065.0,404.0,4.125,204600.0,<1H OCEAN,19293
36.0,1017.0,165.0,407.0,159.0,4.8,306800.0,NEAR OCEAN,16855
18.0,1712.0,509.0,972.0,467.0,4.3971,238900.0,<1H OCEAN,17920
12.0,5616.0,871.0,3019.0,782.0,5.5425,202300.0,INLAND,13360
16.0,3067.0,396.0,1275.0,372.0,8.7385,340000.0,<1H OCEAN,10641
48.0,2012.0,422.0,893.0,394.0,2.7928,175000.0,NEAR OCEAN,14081
34.0,1715.0,290.0,780.0,297.0,3.4306,74300.0,INLAND,19968
52.0,2250.0,566.0,1051.0,562.0,2.8458,350000.0,NEAR BAY,15800
24.0,2234.0,373.0,1325.0,383.0,5.4604,193400.0,<1H OCEAN,20476
18.0,2355.0,444.0,1277.0,433.0,3.4551,121400.0,<1H OCEAN,14978
28.0,2213.0,390.0,1096.0,378.0,3.6923,86900.0,INLAND,18707
23.0,2395.0,498.0,1309.0,493.0,4.9779,224600.0,<1H OCEAN,8522
29.0,2718.0,365.0,982.0,339.0,7.9234,500001.0,<1H OCEAN,18063
44.0,3186.0,876.0,3913.0,842.0,3.0143,148200.0,<1H OCEAN,7374
36.0,866.0,160.0,502.0,149.0,2.4798,101500.0,INLAND,16526
12.0,3301.0,963.0,2000.0,879.0,1.8594,119200.0,NEAR OCEAN,15002
52.0,1729.0,319.0,890.0,300.0,4.3036,261800.0,NEAR BAY,15953
36.0,1822.0,449.0,930.0,399.0,1.3801,56600.0,INLAND,18756
12.0,4839.0,954.0,1708.0,952.0,2.8586,163300.0,<1H OCEAN,15475
21.0,3787.0,492.0,1246.0,457.0,9.6023,391300.0,<1H OCEAN,14719
31.0,4033.0,715.0,2585.0,715.0,3.5096,139900.0,NEAR OCEAN,14911
17.0,2786.0,396.0,1228.0,396.0,6.4211,220700.0,<1H OCEAN,15182
35.0,3269.0,757.0,2328.0,705.0,2.5898,76300.0,INLAND,12241
13.0,3920.0,775.0,2814.0,760.0,4.0616,148800.0,NEAR OCEAN,14740
19.0,1341.0,435.0,1048.0,360.0,1.975,117900.0,NEAR OCEAN,14286
15.0,1486.0,310.0,455.0,296.0,4.3365,221000.0,<1H OCEAN,17749
15.0,3455.0,729.0,2014.0,659.0,3.2656,83500.0,INLAND,9564
13.0,3320.0,426.0,1432.0,431.0,7.9283,348100.0,<1H OCEAN,10481
30.0,3380.0,722.0,2269.0,652.0,4.525,186000.0,<1H OCEAN,11539
23.0,3359.0,725.0,1862.0,651.0,2.6719,193600.0,INLAND,13152
28.0,3193.0,525.0,1750.0,523.0,4.1375,128300.0,INLAND,13440
25.0,3033.0,665.0,1559.0,627.0,2.7101,99500.0,INLAND,12648
35.0,1878.0,454.0,991.0,409.0,2.4345,129700.0,NEAR OCEAN,15000
25.0,2787.0,601.0,1247.0,522.0,2.9016,159800.0,INLAND,12943
22.0,4240.0,532.0,1480.0,514.0,11.2463,500001.0,<1H OCEAN,18056
48.0,1246.0,294.0,697.0,284.0,3.6118,235500.0,<1H OCEAN,17935
42.0,1995.0,412.0,794.0,374.0,5.6234,379600.0,NEAR BAY,17135
52.0,1145.0,133.0,334.0,138.0,8.338,405800.0,INLAND,12544
32.0,2630.0,559.0,1069.0,491.0,2.4659,209000.0,<1H OCEAN,7997
19.0,2610.0,474.0,1290.0,452.0,4.1298,222800.0,INLAND,16561
35.0,1605.0,392.0,743.0,382.0,2.5368,240000.0,NEAR OCEAN,18537
30.0,1835.0,474.0,934.0,415.0,2.875,139600.0,NEAR OCEAN,14091
22.0,2593.0,637.0,1249.0,623.0,3.75,212500.0,<1H OCEAN,17988
25.0,5775.0,1225.0,3580.0,1138.0,3.9187,314900.0,<1H OCEAN,17978
33.0,2170.0,311.0,854.0,303.0,8.3605,500001.0,<1H OCEAN,18074
12.0,9966.0,1517.0,5008.0,1492.0,4.5625,171300.0,INLAND,11977
37.0,1361.0,348.0,1398.0,328.0,1.1681,78100.0,NEAR OCEAN,14273
17.0,2866.0,442.0,1354.0,431.0,4.5764,257300.0,<1H OCEAN,15362
31.0,2485.0,436.0,942.0,448.0,4.8,220800.0,NEAR OCEAN,14720
13.0,3334.0,565.0,2240.0,561.0,7.105,273900.0,<1H OCEAN,17808
52.0,1999.0,642.0,1846.0,620.0,1.9145,225000.0,NEAR BAY,15651
23.0,2790.0,430.0,1407.0,460.0,4.3288,133700.0,INLAND,12679
52.0,2994.0,736.0,1428.0,700.0,3.0766,438900.0,NEAR BAY,15760
33.0,1984.0,477.0,1764.0,440.0,3.875,165100.0,NEAR OCEAN,8104
32.0,1219.0,192.0,634.0,197.0,5.237,215700.0,<1H OCEAN,11289
20.0,1349.0,238.0,601.0,203.0,3.5417,96600.0,INLAND,11843
4.0,2271.0,578.0,926.0,391.0,3.6437,210100.0,<1H OCEAN,15178
34.0,1461.0,299.0,739.0,276.0,3.4375,252600.0,<1H OCEAN,17952
15.0,1717.0,336.0,501.0,206.0,3.6477,113400.0,INLAND,11869
32.0,1969.0,397.0,1349.0,370.0,4.4659,138100.0,<1H OCEAN,7511
11.0,1887.0,303.0,775.0,283.0,3.8417,187200.0,INLAND,10007
52.0,1271.0,353.0,1076.0,324.0,2.9911,263900.0,NEAR BAY,15911
35.0,1503.0,309.0,842.0,300.0,2.5278,97700.0,INLAND,9072
28.0,1035.0,275.0,1545.0,269.0,3.0357,123400.0,<1H OCEAN,7793
29.0,1040.0,291.0,1054.0,297.0,1.1818,83200.0,NEAR OCEAN,14263
15.0,1517.0,361.0,1275.0,343.0,1.5875,55800.0,INLAND,19844
31.0,2697.0,690.0,2220.0,665.0,2.5329,135200.0,<1H OCEAN,9701
52.0,3602.0,738.0,2270.0,647.0,3.8934,251800.0,NEAR BAY,15949
42.0,343.0,50.0,116.0,49.0,5.5376,212500.0,INLAND,16394
52.0,3217.0,742.0,1670.0,671.0,2.4398,163100.0,NEAR BAY,9893
35.0,1762.0,350.0,686.0,339.0,3.5982,271700.0,NEAR BAY,19067
46.0,1519.0,291.0,573.0,289.0,4.2667,338800.0,NEAR BAY,15837
43.0,1682.0,422.0,1706.0,409.0,2.1029,153300.0,<1H OCEAN,7196
17.0,5121.0,1017.0,1470.0,968.0,2.9706,81300.0,<1H OCEAN,17880
24.0,3459.0,573.0,1336.0,544.0,4.8661,186200.0,INLAND,12948
29.0,4716.0,1372.0,2515.0,1272.0,2.726,208700.0,<1H OCEAN,8048
16.0,1591.0,225.0,926.0,239.0,6.2452,266300.0,<1H OCEAN,10884
35.0,865.0,226.0,602.0,217.0,3.0,229100.0,NEAR OCEAN,16864
35.0,1074.0,180.0,442.0,173.0,5.253,204000.0,NEAR OCEAN,14581
24.0,2983.0,406.0,1203.0,381.0,6.3236,302000.0,<1H OCEAN,20495
42.0,705.0,173.0,739.0,140.0,0.9166,99000.0,<1H OCEAN,7403
31.0,2697.0,690.0,2220.0,665.0,2.5329,135200.0,<1H OCEAN,9701
24.0,1766.0,340.0,1028.0,372.0,3.5402,98700.0,INLAND,12670
18.0,3903.0,715.0,1388.0,428.0,4.2386,157200.0,INLAND,13932
15.0,1263.0,211.0,665.0,208.0,4.5,260900.0,INLAND,18996
18.0,1860.0,409.0,741.0,349.0,1.8672,84700.0,INLAND,20639
18.0,3415.0,580.0,1912.0,562.0,4.4423,161400.0,INLAND,16531
18.0,3597.0,664.0,1321.0,593.0,5.3077,351400.0,<1H OCEAN,17613
19.0,6823.0,1509.0,3784.0,1509.0,3.1032,179500.0,NEAR OCEAN,14599
26.0,90.0,18.0,47.0,18.0,1.125,87500.0,INLAND,19443
36.0,4915.0,725.0,1897.0,700.0,6.827,359400.0,INLAND,6559
11.0,1472.0,261.0,1012.0,285.0,4.21,175600.0,NEAR OCEAN,15422
18.0,3176.0,468.0,1296.0,471.0,5.5684,185100.0,INLAND,19461
6.0,7995.0,1458.0,4771.0,1376.0,4.7068,184300.0,NEAR OCEAN,14923
28.0,4380.0,820.0,2187.0,835.0,3.9018,182300.0,<1H OCEAN,11300
52.0,1972.0,327.0,755.0,345.0,7.1924,500001.0,NEAR BAY,9401
35.0,1845.0,325.0,1343.0,317.0,5.3912,235300.0,<1H OCEAN,17876
18.0,5210.0,912.0,1301.0,464.0,4.8623,176900.0,INLAND,13803
16.0,3907.0,671.0,1759.0,663.0,3.1776,172600.0,<1H OCEAN,15485
4.0,4323.0,775.0,1479.0,663.0,6.0758,226800.0,INLAND,13247
39.0,2794.0,444.0,1319.0,441.0,5.878,387800.0,<1H OCEAN,8750
36.0,1862.0,364.0,1080.0,364.0,4.4567,263800.0,NEAR OCEAN,18557
43.0,828.0,151.0,446.0,145.0,4.4375,327600.0,<1H OCEAN,17593
30.0,1917.0,462.0,828.0,437.0,2.4671,276300.0,NEAR OCEAN,14440
35.0,928.0,264.0,538.0,248.0,2.4583,197900.0,NEAR OCEAN,15310
16.0,193.0,45.0,312.0,76.0,3.7578,137500.0,INLAND,13427
6.0,8278.0,1579.0,3062.0,1446.0,3.0043,134700.0,INLAND,12222
35.0,2118.0,374.0,1108.0,360.0,3.4327,100300.0,INLAND,9059
52.0,851.0,190.0,731.0,190.0,1.9044,64900.0,INLAND,13553
13.0,3920.0,775.0,2814.0,760.0,4.0616,148800.0,NEAR OCEAN,14740
20.0,1232.0,332.0,667.0,288.0,1.8288,32500.0,INLAND,13095
22.0,1746.0,363.0,886.0,364.0,5.5469,378800.0,<1H OCEAN,9794
34.0,1075.0,318.0,906.0,294.0,3.0052,242500.0,NEAR OCEAN,16807
21.0,2471.0,677.0,1486.0,689.0,3.9038,243800.0,<1H OCEAN,18170
31.0,1524.0,383.0,1257.0,398.0,2.6019,250000.0,NEAR OCEAN,17260
14.0,5320.0,974.0,1947.0,843.0,3.1393,116300.0,INLAND,12275
23.0,5135.0,911.0,2351.0,863.0,5.2319,430100.0,<1H OCEAN,18159
52.0,2635.0,587.0,1302.0,577.0,3.7292,416700.0,NEAR BAY,16125
18.0,2990.0,648.0,1280.0,532.0,2.625,68200.0,INLAND,12329
29.0,1526.0,355.0,724.0,315.0,4.0313,435200.0,NEAR OCEAN,17017
38.0,1241.0,298.0,1055.0,263.0,2.3409,115500.0,<1H OCEAN,4432
24.0,3504.0,521.0,1490.0,506.0,4.6719,337000.0,NEAR OCEAN,16661
7.0,2773.0,530.0,1374.0,505.0,2.6214,103800.0,INLAND,9548
50.0,1993.0,410.0,1009.0,374.0,3.9464,295600.0,NEAR OCEAN,16095
38.0,2410.0,967.0,1091.0,829.0,1.2209,87900.0,INLAND,12490
22.0,5822.0,1707.0,3335.0,1585.0,3.1579,243100.0,<1H OCEAN,5446
46.0,1750.0,347.0,754.0,356.0,2.9137,106000.0,INLAND,19491
33.0,1866.0,327.0,1053.0,371.0,4.5461,213800.0,<1H OCEAN,10978
36.0,5456.0,926.0,2761.0,916.0,4.7755,280700.0,NEAR OCEAN,16795
17.0,1280.0,254.0,707.0,267.0,3.55,106300.0,INLAND,9198
16.0,1332.0,196.0,640.0,193.0,6.0226,192900.0,<1H OCEAN,15157
11.0,673.0,145.0,318.0,137.0,2.3929,122500.0,NEAR BAY,18932
14.0,3713.0,637.0,1845.0,635.0,4.3009,143400.0,INLAND,13013
26.0,3192.0,447.0,1132.0,418.0,4.5278,144300.0,INLAND,12928
31.0,1975.0,373.0,918.0,347.0,4.4107,202000.0,<1H OCEAN,10091
48.0,1188.0,227.0,471.0,219.0,2.3125,125700.0,INLAND,10028
19.0,2405.0,661.0,1855.0,621.0,2.3111,255400.0,<1H OCEAN,3593
15.0,868.0,244.0,1133.0,253.0,2.0995,87500.0,<1H OCEAN,17401
36.0,1527.0,427.0,710.0,312.0,2.7857,291700.0,NEAR OCEAN,14404
36.0,961.0,173.0,625.0,179.0,4.2596,181100.0,<1H OCEAN,8471
34.0,6001.0,1111.0,2654.0,1072.0,4.5878,291000.0,NEAR OCEAN,14362
26.0,2110.0,409.0,1146.0,407.0,4.3698,229600.0,<1H OCEAN,10982
26.0,5416.0,1045.0,4531.0,962.0,2.7909,250000.0,NEAR BAY,15789
52.0,4513.0,985.0,1926.0,815.0,1.5923,56000.0,INLAND,18858
26.0,1279.0,163.0,412.0,157.0,6.1731,293800.0,INLAND,5923
35.0,1835.0,435.0,774.0,418.0,2.7092,256300.0,<1H OCEAN,8172
16.0,3072.0,612.0,1283.0,604.0,2.8929,115600.0,INLAND,13851
19.0,2930.0,428.0,1481.0,430.0,6.323,480800.0,<1H OCEAN,10492
46.0,2559.0,506.0,1562.0,498.0,4.3846,270600.0,NEAR OCEAN,15955
31.0,4175.0,1004.0,3310.0,954.0,3.1989,185400.0,NEAR OCEAN,20301
40.0,2223.0,412.0,1050.0,417.0,5.2421,444500.0,NEAR OCEAN,17151
23.0,2111.0,306.0,979.0,288.0,8.5621,347800.0,<1H OCEAN,11698
31.0,5715.0,1154.0,2639.0,1079.0,4.1661,364400.0,<1H OCEAN,6782
39.0,1989.0,401.0,805.0,341.0,2.425,90000.0,INLAND,13576
24.0,5046.0,1001.0,2449.0,968.0,4.7118,274600.0,<1H OCEAN,18030
34.0,4613.0,749.0,2050.0,725.0,5.3922,302900.0,<1H OCEAN,17659
35.0,1335.0,296.0,635.0,296.0,3.6053,345800.0,<1H OCEAN,17589
8.0,3372.0,430.0,1536.0,448.0,8.4284,378300.0,<1H OCEAN,15195
38.0,989.0,246.0,691.0,204.0,3.2632,180900.0,<1H OCEAN,11314
35.0,1853.0,331.0,958.0,340.0,3.3578,149000.0,INLAND,16509
21.0,1839.0,324.0,871.0,307.0,3.4459,198800.0,INLAND,12011
37.0,1326.0,335.0,1771.0,335.0,3.0147,218100.0,NEAR BAY,17076
28.0,3025.0,756.0,1328.0,695.0,2.694,164100.0,NEAR OCEAN,14043
16.0,4632.0,,3038.0,727.0,5.1762,264400.0,<1H OCEAN,6069
33.0,3880.0,770.0,2288.0,805.0,3.6848,140700.0,NEAR OCEAN,15001
46.0,1519.0,291.0,573.0,289.0,4.2667,338800.0,NEAR BAY,15837
33.0,3084.0,570.0,1753.0,449.0,3.05,97800.0,INLAND,11965
47.0,3038.0,1533.0,4225.0,1472.0,1.6725,187500.0,<1H OCEAN,4646
43.0,3850.0,1018.0,1497.0,829.0,3.5296,400000.0,NEAR OCEAN,16090
39.0,2056.0,381.0,939.0,371.0,6.6257,427600.0,<1H OCEAN,20155
18.0,1756.0,442.0,837.0,320.0,1.125,70500.0,INLAND,12783
19.0,1204.0,405.0,844.0,424.0,0.7235,71300.0,INLAND,13595
32.0,1489.0,306.0,774.0,267.0,3.275,103500.0,INLAND,9121
16.0,5418.0,1005.0,2690.0,1088.0,4.0556,158000.0,INLAND,12045
17.0,3724.0,1023.0,2536.0,971.0,3.2649,202100.0,<1H OCEAN,8464
41.0,815.0,252.0,775.0,231.0,2.2847,190000.0,<1H OCEAN,7241
44.0,2146.0,394.0,851.0,355.0,6.48,500001.0,<1H OCEAN,8886
28.0,4612.0,608.0,1686.0,567.0,10.0346,500001.0,<1H OCEAN,18270
22.0,3626.0,824.0,1800.0,769.0,2.8594,189600.0,<1H OCEAN,15024
19.0,4780.0,861.0,3043.0,766.0,3.7431,132800.0,INLAND,12031
3.0,12806.0,2219.0,4249.0,1499.0,5.485,343100.0,INLAND,13369
18.0,1564.0,357.0,618.0,277.0,2.3549,108900.0,INLAND,1030
23.0,7063.0,1176.0,3100.0,1112.0,4.8229,192600.0,INLAND,5966
52.0,1911.0,415.0,777.0,412.0,2.2429,221100.0,NEAR OCEAN,14297
42.0,2361.0,512.0,1684.0,511.0,2.355,75600.0,INLAND,9599
13.0,3292.0,727.0,1565.0,698.0,5.457,308800.0,<1H OCEAN,10298
38.0,1276.0,314.0,955.0,287.0,2.0096,155700.0,NEAR BAY,17126
30.0,1055.0,211.0,629.0,170.0,2.8676,76900.0,INLAND,16413
17.0,3608.0,682.0,1694.0,666.0,3.311,109400.0,INLAND,13064
41.0,1509.0,325.0,821.0,314.0,4.0893,223000.0,<1H OCEAN,8168
17.0,5781.0,924.0,2585.0,915.0,5.343,231900.0,<1H OCEAN,11414
13.0,2902.0,536.0,1125.0,490.0,5.888,447700.0,NEAR OCEAN,11454
42.0,2533.0,433.0,957.0,398.0,5.3468,279900.0,<1H OCEAN,18369
13.0,5301.0,1025.0,2870.0,984.0,3.5954,163000.0,INLAND,13212
4.0,11021.0,1565.0,3857.0,1494.0,7.2582,273200.0,INLAND,13046
10.0,4374.0,989.0,1020.0,376.0,2.6071,89000.0,INLAND,13976
5.0,6660.0,1217.0,3012.0,1087.0,3.0809,143600.0,INLAND,19579
7.0,10235.0,2238.0,5271.0,2094.0,3.6071,159100.0,INLAND,12042
37.0,1795.0,285.0,791.0,261.0,7.5794,500001.0,NEAR BAY,18360
24.0,979.0,201.0,723.0,205.0,2.5926,72300.0,INLAND,12628
15.0,1933.0,280.0,965.0,260.0,4.6477,142700.0,INLAND,16341
26.0,788.0,127.0,346.0,125.0,5.0603,185700.0,NEAR OCEAN,14598
34.0,2392.0,653.0,933.0,619.0,3.7306,500000.0,NEAR OCEAN,14456
10.0,9205.0,1774.0,5935.0,1673.0,3.65,119400.0,INLAND,16560
25.0,1703.0,342.0,775.0,309.0,4.5455,126500.0,INLAND,9061
9.0,521.0,111.0,491.0,110.0,5.1305,158900.0,NEAR OCEAN,14207
27.0,1743.0,380.0,697.0,368.0,1.6678,166100.0,INLAND,12750
39.0,2967.0,500.0,1243.0,523.0,4.2902,152400.0,NEAR BAY,18896
2.0,2682.0,393.0,883.0,271.0,5.9934,196700.0,INLAND,16594
26.0,3165.0,806.0,2447.0,752.0,1.5908,78600.0,INLAND,12633
44.0,2172.0,431.0,892.0,420.0,4.1742,342200.0,NEAR OCEAN,14414
52.0,2511.0,895.0,1202.0,804.0,2.6607,87500.0,NEAR BAY,15706
43.0,2383.0,607.0,962.0,587.0,2.2578,263600.0,NEAR OCEAN,14032
36.0,1018.0,305.0,1307.0,292.0,2.1453,162100.0,<1H OCEAN,6514
14.0,3173.0,599.0,1451.0,585.0,3.7292,182200.0,<1H OCEAN,14735
29.0,3757.0,646.0,2022.0,611.0,3.5429,88200.0,INLAND,12852
34.0,2403.0,413.0,1385.0,386.0,4.4934,213800.0,<1H OCEAN,7952
33.0,1406.0,317.0,1075.0,301.0,3.2813,190000.0,<1H OCEAN,18580
17.0,1926.0,410.0,1054.0,321.0,1.6214,71500.0,INLAND,19626
